x,y,z
14925.28,-74800.19,4649.93
14904.83,-74697.69,4649.92
14884.37,-74595.19,4649.90
14863.91,-74492.69,4649.86
14843.45,-74390.19,4649.83
14822.99,-74287.69,4649.79
14802.53,-74185.19,4649.75
14782.07,-74082.69,4649.71
14761.61,-73980.19,4649.67
14741.15,-73877.69,4649.63
14720.69,-73775.19,4649.59
14700.24,-73672.69,4649.55
14679.78,-73570.19,4649.52
14659.32,-73467.69,4649.48
14638.86,-73365.19,4649.44
14618.40,-73262.69,4649.40
14597.94,-73160.19,4649.36
14577.48,-73057.69,4649.32
14557.02,-72955.19,4649.28
14536.56,-72852.69,4649.24
14516.10,-72750.19,4649.20
14495.65,-72647.69,4649.16
14475.19,-72545.19,4649.12
14454.73,-72442.69,4649.09
14434.27,-72340.19,4649.05
14413.81,-72237.69,4649.01
14393.35,-72135.19,4648.97
14372.89,-72032.69,4648.93
14352.43,-71930.19,4648.89
14331.97,-71827.69,4648.85
14311.51,-71725.19,4648.81
14291.06,-71622.69,4648.77
14270.60,-71520.19,4648.73
14250.14,-71417.69,4648.69
14229.68,-71315.19,4648.66
14209.22,-71212.69,4648.62
14188.76,-71110.19,4648.58
14168.30,-71007.69,4648.54
14147.84,-70905.19,4648.50
14127.38,-70802.69,4648.46
14106.92,-70700.19,4648.42
14086.47,-70597.69,4648.38
14066.01,-70495.19,4648.34
14045.55,-70392.69,4648.30
14025.09,-70290.19,4648.27
14004.63,-70187.69,4648.23
13984.17,-70085.19,4648.19
13963.71,-69982.69,4648.15
13943.25,-69880.19,4648.11
13922.79,-69777.69,4648.07
13902.33,-69675.19,4648.03
13881.88,-69572.69,4647.99
13861.42,-69470.19,4647.95
13840.96,-69367.69,4647.91
13820.50,-69265.19,4647.87
13800.04,-69162.69,4647.84
13779.58,-69060.19,4647.80
13759.12,-68957.69,4647.76
13738.66,-68855.19,4647.72
13718.20,-68752.69,4647.68
13697.75,-68650.19,4647.64
13677.29,-68547.69,4647.60
13656.83,-68445.19,4647.56
13636.37,-68342.69,4647.52
13615.91,-68240.19,4647.48
13595.45,-68137.69,4647.44
13574.99,-68035.19,4647.41
13554.53,-67932.69,4647.37
13534.07,-67830.19,4647.33
13513.61,-67727.69,4647.29
13493.16,-67625.19,4647.25
13472.70,-67522.69,4647.21
13452.24,-67420.19,4647.17
